"location","plot","exc.trt","gird.trt","row"
"C1-A","C1","0","O","C"
"C1-B","C1","0","O","C"
"C1-C","C1","0","O","C"
"C1-D","C1","0","O","C"
"C1X-A","C1","1","O","C"
"C1X-B","C1","1","O","C"
"C1X-C","C1","1","O","C"
"C1X-D","C1","1","O","C"
"C2-A","C2","0","C","C"
"C2-B","C2","0","C","C"
"C2-C","C2","0","C","C"
"C2-D","C2","0","C","C"
"C2X-A","C2","1","C","C"
"C2X-B","C2","1","C","C"
"C2X-C","C2","1","C","C"
"C2X-D","C2","1","C","C"
"C3-A","C3","0","O50","C"
"C3-B","C3","0","O50","C"
"C3-C","C3","0","O50","C"
"C3-D","C3","0","O50","C"
"C3X-A","C3","1","O50","C"
"C3X-B","C3","1","O50","C"
"C3X-C","C3","1","O50","C"
"C3X-D","C3","1","O50","C"
"C4-A","C4","0","N","C"
"C4-B","C4","0","N","C"
"C4-C","C4","0","N","C"
"C4-D","C4","0","N","C"
"C4X-A","C4","1","N","C"
"C4X-B","C4","1","N","C"
"C4X-C","C4","1","N","C"
"C4X-D","C4","1","N","C"
"B4-A","B4","0","C","B"
"B4-B","B4","0","C","B"
"B4-C","B4","0","C","B"
"B4X-A","B4","1","C","B"
"B4X-B","B4","1","C","B"
"B4X-C","B4","1","C","B"
"B4X-D","B4","1","C","B"
"A4-A","A4","0","O","A"
"A4-B","A4","0","O","A"
"A4-C","A4","0","O","A"
"A4X-B","A4","1","O","A"
"A4X-A","A4","1","O","A"
"A4X-C","A4","1","O","A"
"A4-D","A4","0","O","A"
"A3-A","A3","0","C","A"
"A3-B","A3","0","C","A"
"A3-C","A3","0","C","A"
"A3-D","A3","0","C","A"
"A3X-A","A3","1","C","A"
"A3X-B","A3","1","C","A"
"A3X-D","A3","1","C","A"
"A3X-C","A3","1","C","A"
"A1-A","A1","0","N","A"
"A1-B","A1","0","N","A"
"A1-C","A1","0","N","A"
"A1-D","A1","0","N","A"
"A1X-A","A1","1","N","A"
"A1X-B","A1","1","N","A"
"A1X-C","A1","1","N","A"
"A1X-D","A1","1","N","A"
"A2-A","A2","0","O50","A"
"A2-B","A2","0","O50","A"
"A2-C","A2","0","O50","A"
"A2-D","A2","0","O50","A"
"A2X-A","A2","1","O50","A"
"A2X-B","A2","1","O50","A"
"A2X-C","A2","1","O50","A"
"A2X-D","A2","1","O50","A"
"B3-A","B3","0","N","B"
"B3-B","B3","0","N","B"
"B3-D","B3","0","N","B"
"B3X-A","B3","1","N","B"
"B3X-B","B3","1","N","B"
"B3X-D","B3","1","N","B"
"B2-A","B2","0","O","B"
"B2-B","B2","0","O","B"
"B2-C","B2","0","O","B"
"B2-D","B2","0","O","B"
"B2X-A","B2","1","O","B"
"B2X-B","B2","1","O","B"
"B2X-C","B2","1","O","B"
"B2X-D","B2","1","O","B"
"B1-A","B1","0","O50","B"
"B1-B","B1","0","O50","B"
"B1-C","B1","0","O50","B"
"B1-D","B1","0","O50","B"
"B1X-A","B1","1","O50","B"
"B1X-D","B1","1","O50","B"
"B1X-C","B1","1","O50","B"
"B1X-B","B1","1","O50","B"
